price,area,rooms,ceiling_height,price_per_m2,Тип,Ремонт,Парковка,Балкон,Санузел
80000.0,92.0,3,2.8,869.5652173913044,Квартира,unknown,unknown,Лоджия (1),"Совмещенный (1), Раздельный (1)"
90000.0,100.0,3,,900.0,Квартира,Евроремонт,подземная,unknown,Раздельный (2)
90000.0,94.0,3,,957.4468085106383,Квартира,unknown,подземная,unknown,Совмещенный (2)
200000.0,162.4,4,2.75,1231.527093596059,Квартира,Дизайнерский,подземная,Лоджия (1),Совмещенный (2)
65000.0,76.0,3,,855.2631578947369,Квартира,Косметический,наземная,Лоджия (1),Совмещенный (1)
85000.0,100.0,3,,850.0,Квартира,Евроремонт,unknown,Балкон (2),Совмещенный (2)
90000.0,112.0,3,,803.5714285714286,Квартира,Дизайнерский,unknown,Лоджия (2),Совмещенный (1)
110000.0,112.0,3,3.15,982.1428571428571,Квартира,Дизайнерский,подземная,Лоджия (2),Совмещенный (2)
69000.0,58.0,2,2.6,1189.655172413793,Квартира,Дизайнерский,unknown,Балкон (1),Раздельный (1)
80000.0,82.6,3,2.8,968.5230024213075,Квартира,Евроремонт,наземная,Лоджия (1),Совмещенный (1)
68000.0,64.0,3,2.64,1062.5,Квартира,Косметический,unknown,Балкон (1),Совмещенный (1)
54000.0,65.0,2,,830.7692307692307,Квартира,Косметический,unknown,Лоджия (2),Совмещенный (1)
55000.0,50.0,1,,1100.0,Квартира,unknown,unknown,Лоджия (1),Раздельный (1)
55000.0,44.0,2,2.6,1250.0,Квартира,unknown,unknown,unknown,Совмещенный (1)
55000.0,57.0,3,2.7,964.9122807017544,Квартира,unknown,unknown,Лоджия (1),Раздельный (1)
57000.0,73.0,2,,780.8219178082192,Квартира,Косметический,открытая,Балкон (1),Раздельный (1)
57000.0,74.0,3,2.7,770.2702702702703,Квартира,Евроремонт,unknown,Балкон (1),Совмещенный (2)
60000.0,64.0,2,,937.5,Квартира,unknown,наземная,"Балкон (1), Лоджия (1)",Совмещенный (1)
65000.0,53.0,3,,1226.4150943396226,Квартира,Евроремонт,наземная,Балкон (1),Раздельный (1)
69000.0,58.0,3,2.6,1189.655172413793,Квартира,Дизайнерский,unknown,Балкон (1),Раздельный (1)
69999.0,77.0,3,,909.077922077922,Квартира,Дизайнерский,unknown,Лоджия (1),Раздельный (1)
70000.0,83.0,2,,843.3734939759037,Квартира,Евроремонт,открытая,Балкон (1),Совмещенный (2)
70000.0,76.0,3,,921.0526315789474,Квартира,Косметический,открытая,Лоджия (1),Раздельный (1)
75000.0,90.2,3,3.0,831.4855875831486,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (2)
90000.0,73.1,3,2.7,1231.1901504787963,Квартира,Дизайнерский,unknown,Лоджия (2),Совмещенный (1)
100000.0,103.0,3,,970.8737864077669,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (2)
180000.0,160.0,4,,1125.0,Квартира,Евроремонт,подземная,Балкон (1),Совмещенный (2)
55000.0,53.0,3,,1037.7358490566037,Квартира,Евроремонт,unknown,Балкон (1),Раздельный (1)
55000.0,44.0,2,,1250.0,Квартира,Косметический,unknown,Балкон (1),Раздельный (1)
56500.0,53.0,2,,1066.0377358490566,Квартира,Евроремонт,открытая,Балкон (1),Раздельный (1)
60000.0,74.0,2,3.0,810.8108108108108,Квартира,Евроремонт,unknown,Балкон (2),unknown
60000.0,34.0,1,2.64,1764.7058823529412,Квартира,Евроремонт,unknown,unknown,Совмещенный (1)
60000.0,80.0,3,2.48,750.0,Квартира,Евроремонт,наземная,Балкон (1),Совмещенный (1)
60000.0,75.0,2,,800.0,Квартира,Евроремонт,unknown,Балкон (1),Раздельный (1)
65000.0,70.0,2,,928.5714285714286,Квартира,Дизайнерский,unknown,Балкон (1),Раздельный (1)
65000.0,50.0,2,2.6,1300.0,Квартира,Дизайнерский,unknown,Лоджия (2),Совмещенный (1)
65000.0,56.0,2,3.0,1160.7142857142858,Квартира,Косметический,наземная,Лоджия (1),Раздельный (1)
68000.0,58.0,3,,1172.4137931034484,Квартира,Евроремонт,unknown,Балкон (1),unknown
70000.0,96.0,3,,729.1666666666666,Квартира,Евроремонт,unknown,Балкон (1),unknown
70000.0,75.0,3,2.64,933.3333333333334,Квартира,Евроремонт,наземная,Лоджия (1),Совмещенный (1)
70000.0,65.0,2,,1076.923076923077,Квартира,Косметический,unknown,"Балкон (1), Лоджия (1)",Раздельный (1)
70000.0,75.0,3,3.2,933.3333333333334,Квартира,Евроремонт,наземная,Балкон (1),Раздельный (1)
71000.0,55.0,1,,1290.909090909091,Квартира,Косметический,открытая,Лоджия (1),Совмещенный (1)
75000.0,87.0,3,,862.0689655172414,Квартира,Евроремонт,unknown,Лоджия (1),"Совмещенный (1), Раздельный (1)"
80000.0,90.0,2,2.7,888.8888888888889,Квартира,Евроремонт,наземная,Лоджия (1),Совмещенный (2)
81000.0,74.0,2,3.0,1094.5945945945946,Квартира,Дизайнерский,наземная,Лоджия (2),Раздельный (1)
95000.0,98.0,4,,969.3877551020408,Квартира,Евроремонт,unknown,unknown,Раздельный (1)
100000.0,130.0,4,,769.2307692307693,Квартира,Евроремонт,unknown,Лоджия (1),Совмещенный (2)
110000.0,100.0,3,,1100.0,Квартира,Евроремонт,unknown,Лоджия (1),"Совмещенный (1), Раздельный (1)"
130000.0,125.0,4,3.0,1040.0,Квартира,Евроремонт,unknown,Лоджия (3),unknown
150000.0,120.0,3,,1250.0,Квартира,Дизайнерский,unknown,Лоджия (2),Совмещенный (2)
55000.0,55.0,2,,1000.0,Квартира,Косметический,наземная,Лоджия (1),Совмещенный (1)
55000.0,44.0,2,2.55,1250.0,Квартира,Евроремонт,наземная,unknown,Совмещенный (1)
55000.0,77.7,3,2.95,707.8507078507079,Квартира,Косметический,unknown,Балкон (1),Раздельный (1)
56000.0,43.3,2,2.48,1293.3025404157045,Квартира,Дизайнерский,наземная,Балкон (1),Совмещенный (1)
70000.0,55.0,2,,1272.7272727272727,Квартира,Дизайнерский,наземная,Лоджия (1),unknown
57000.0,50.6,2,2.64,1126.4822134387352,Квартира,Косметический,наземная,Балкон (1),Раздельный (1)
52000.0,79.0,3,,658.2278481012659,Квартира,Косметический,unknown,Лоджия (1),unknown
55000.0,51.0,2,,1078.4313725490197,Квартира,unknown,unknown,Балкон (1),Раздельный (1)
68000.0,77.0,3,2.7,883.1168831168832,Квартира,unknown,unknown,Балкон (2),Раздельный (1)
52000.0,76.0,3,2.5,684.2105263157895,Квартира,Косметический,unknown,Лоджия (1),Раздельный (1)
68000.0,77.0,3,2.64,883.1168831168832,Квартира,Косметический,unknown,Балкон (2),Раздельный (1)
70000.0,78.0,3,2.8,897.4358974358975,Квартира,Евроремонт,unknown,Лоджия (1),Совмещенный (1)
55000.0,48.9,3,2.64,1124.7443762781186,Квартира,Косметический,наземная,Балкон (1),Раздельный (1)
53000.0,60.0,2,,883.3333333333334,Квартира,Евроремонт,наземная,Балкон (1),Раздельный (1)
80000.0,82.0,3,3.2,975.609756097561,Квартира,Евроремонт,подземная,Лоджия (1),Совмещенный (2)
55000.0,60.0,3,2.64,916.6666666666666,Квартира,Евроремонт,наземная,Балкон (1),Совмещенный (1)
55000.0,45.0,2,2.64,1222.2222222222222,Квартира,Евроремонт,наземная,Балкон (1),Совмещенный (1)
60000.0,62.0,2,,967.741935483871,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
62000.0,58.0,2,2.7,1068.9655172413793,Квартира,Дизайнерский,наземная,Балкон (1),Раздельный (1)
66000.0,78.0,3,2.74,846.1538461538462,Квартира,Евроремонт,unknown,Лоджия (2),Раздельный (1)
65000.0,62.0,2,,1048.3870967741937,Квартира,unknown,unknown,unknown,Совмещенный (1)
65000.0,62.0,2,,1048.3870967741937,Квартира,Евроремонт,unknown,unknown,Совмещенный (1)
53000.0,63.0,3,2.5,841.2698412698413,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
58000.0,70.0,2,2.7,828.5714285714286,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
65000.0,77.0,3,2.64,844.1558441558442,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
70000.0,60.0,3,2.64,1166.6666666666667,Квартира,Евроремонт,наземная,Лоджия (1),Раздельный (1)
52000.0,62.0,2,,838.7096774193549,Квартира,Евроремонт,unknown,"Балкон (1), Лоджия (1)",Раздельный (1)
55000.0,54.0,2,,1018.5185185185185,Квартира,Евроремонт,unknown,Лоджия (1),Раздельный (1)
55000.0,32.0,2,,1718.75,Квартира,Дизайнерский,наземная,Лоджия (1),Совмещенный (1)
60000.0,72.0,3,,833.3333333333334,Квартира,Косметический,unknown,Балкон (1),unknown
60000.0,50.0,2,2.5,1200.0,Квартира,unknown,unknown,Балкон (1),Раздельный (1)
60000.0,62.7,3,2.7,956.9377990430621,Квартира,unknown,unknown,Лоджия (1),Раздельный (1)
60000.0,82.0,3,2.7,731.7073170731708,Квартира,Косметический,unknown,unknown,Раздельный (1)
60000.0,80.0,3,,750.0,Квартира,Евроремонт,unknown,"Балкон (1), Лоджия (1)",Совмещенный (1)
60000.0,63.0,2,2.74,952.3809523809524,Квартира,Евроремонт,многоуровневая,Лоджия (2),Раздельный (1)
60000.0,70.0,3,2.48,857.1428571428571,Квартира,Дизайнерский,наземная,Лоджия (1),Совмещенный (1)
60000.0,60.0,2,2.64,1000.0,Квартира,Евроремонт,unknown,"Балкон (1), Лоджия (1)",Совмещенный (1)
61500.0,70.0,2,,878.5714285714286,Квартира,Дизайнерский,unknown,unknown,Совмещенный (1)
65000.0,51.0,2,,1274.5098039215686,Квартира,unknown,unknown,unknown,Совмещенный (1)
65000.0,68.0,2,,955.8823529411765,Квартира,Дизайнерский,unknown,unknown,"Совмещенный (1), Раздельный (1)"
65000.0,82.5,3,2.64,787.8787878787879,Квартира,Евроремонт,unknown,Лоджия (1),Раздельный (1)
